table,column,value
document_locations,document_id,260
document_locations,document_id,166
document_locations,document_id,7
document_locations,document_id,230
document_locations,document_id,170
document_locations,document_id,11
document_locations,document_id,111
document_locations,document_id,81
document_locations,document_id,119
document_locations,document_id,252
document_locations,location_code,e
document_locations,location_code,n
document_locations,location_code,x
document_locations,location_code,c
document_locations,location_code,b
document_locations,date_in_location_from,1997-03-10 15:24:00
document_locations,date_in_location_from,2017-01-06 23:17:22
document_locations,date_in_location_from,2009-08-18 03:29:08
document_locations,date_in_location_from,2010-11-26 19:22:50
document_locations,date_in_location_from,2008-06-08 12:45:38
document_locations,date_in_location_from,1986-10-14 17:53:39
document_locations,date_in_location_from,1985-05-13 12:19:43
document_locations,date_in_location_from,1972-03-31 09:47:22
document_locations,date_in_locaton_to,2012-07-03 09:48:46
document_locations,date_in_locaton_to,1997-03-10 15:24:00
document_locations,date_in_locaton_to,1987-11-05 06:11:22
document_locations,date_in_locaton_to,2017-01-06 23:17:22
document_locations,date_in_locaton_to,2009-08-18 03:29:08
document_locations,date_in_locaton_to,2010-11-26 19:22:50
document_locations,date_in_locaton_to,1995-01-01 03:52:11
document_locations,date_in_locaton_to,2008-06-08 12:45:38
document_locations,date_in_locaton_to,1986-10-14 17:53:39
document_locations,date_in_locaton_to,1976-06-15 03:40:06
documents_to_be_destroyed,document_id,99
documents_to_be_destroyed,document_id,260
documents_to_be_destroyed,document_id,166
documents_to_be_destroyed,document_id,39
documents_to_be_destroyed,document_id,7
documents_to_be_destroyed,document_id,170
documents_to_be_destroyed,document_id,11
documents_to_be_destroyed,document_id,111
documents_to_be_destroyed,document_id,120
documents_to_be_destroyed,document_id,25
documents_to_be_destroyed,document_id,252
documents_to_be_destroyed,destruction_authorised_by_employee_id,38
documents_to_be_destroyed,destruction_authorised_by_employee_id,55
documents_to_be_destroyed,destruction_authorised_by_employee_id,183
documents_to_be_destroyed,destruction_authorised_by_employee_id,123
documents_to_be_destroyed,destruction_authorised_by_employee_id,156
documents_to_be_destroyed,destruction_authorised_by_employee_id,30
documents_to_be_destroyed,destroyed_by_employee_id,99
documents_to_be_destroyed,destroyed_by_employee_id,38
documents_to_be_destroyed,destroyed_by_employee_id,136
documents_to_be_destroyed,destroyed_by_employee_id,138
documents_to_be_destroyed,destroyed_by_employee_id,173
documents_to_be_destroyed,destroyed_by_employee_id,55
documents_to_be_destroyed,destroyed_by_employee_id,156
documents_to_be_destroyed,planned_destruction_date,1988-02-01 14:41:52
documents_to_be_destroyed,planned_destruction_date,2017-01-06 23:17:22
documents_to_be_destroyed,planned_destruction_date,2009-08-18 03:29:08
documents_to_be_destroyed,planned_destruction_date,1987-11-05 06:11:22
documents_to_be_destroyed,planned_destruction_date,2010-11-26 19:22:50
documents_to_be_destroyed,planned_destruction_date,1976-06-15 03:40:06
documents_to_be_destroyed,planned_destruction_date,1972-03-31 09:47:22
documents_to_be_destroyed,actual_destruction_date,2012-07-03 09:48:46
documents_to_be_destroyed,actual_destruction_date,1988-02-01 14:41:52
documents_to_be_destroyed,actual_destruction_date,2017-01-06 23:17:22
documents_to_be_destroyed,actual_destruction_date,2009-08-18 03:29:08
documents_to_be_destroyed,actual_destruction_date,1995-01-01 03:52:11
documents_to_be_destroyed,actual_destruction_date,1986-10-14 17:53:39
documents_to_be_destroyed,actual_destruction_date,1985-05-13 12:19:43
documents_to_be_destroyed,other_details,
person,name,Dan
person,name,Zach
person,name,Alice
person,name,Bob
person,age,25
person,age,26
person,age,35
person,age,45
person,city,chicago
person,city,new york city
person,city,salt lake city
person,city,austin
person,gender,female
person,gender,male
person,job,student
person,job,engineer
person,job,doctor
personfriend,name,Bob
personfriend,name,Alice
personfriend,name,Zach
personfriend,friend,Dan
personfriend,friend,Alice
personfriend,friend,Zach
personfriend,friend,Bob
personfriend,year,10
personfriend,year,12
personfriend,year,5
personfriend,year,6
swimmer,id,1
swimmer,id,2
swimmer,id,3
swimmer,id,4
swimmer,id,5
swimmer,id,6
swimmer,id,7
swimmer,id,8
swimmer,name,Craig Stevens
swimmer,name,Sergiy Fesenko
swimmer,name,Federico Colbertaldo
swimmer,name,Ryan Cochrane
swimmer,name,Oussama Mellouli
swimmer,name,Sébastien Rouault
swimmer,name,Przemysław Stańczyk
swimmer,name,Grant Hackett
swimmer,nationality,Italy
swimmer,nationality,Canada
swimmer,nationality,Australia
swimmer,nationality,Ukraine
swimmer,nationality,Tunisia
swimmer,nationality,France
swimmer,nationality,Poland
swimmer,meter_100,57.84
swimmer,meter_100,57.35
swimmer,meter_100,55.67
swimmer,meter_100,57.31
swimmer,meter_100,57.66
swimmer,meter_100,57.34
swimmer,meter_200,1:56.77
swimmer,meter_200,1:57.26
swimmer,meter_200,1:57.10
swimmer,meter_200,1:56.44
swimmer,meter_200,1:54.40
swimmer,meter_200,1:57.21
swimmer,meter_200,1:56.34
swimmer,meter_300,2:53.46
swimmer,meter_300,2:56.02
swimmer,meter_300,2:55.90
swimmer,meter_300,2:56.95
swimmer,meter_300,2:55.94
swimmer,meter_300,2:56.64
swimmer,meter_300,2:57.10
swimmer,meter_300,2:56.04
swimmer,meter_400,3:57.00
swimmer,meter_400,3:55.72
swimmer,meter_400,3:56.34
swimmer,meter_400,3:55.49
swimmer,meter_400,3:52.93
swimmer,meter_400,3:55.37
swimmer,meter_400,3:57.12
swimmer,meter_400,3:55.36
swimmer,meter_500,4:56.96
swimmer,meter_500,4:57.03
swimmer,meter_500,4:56.15
swimmer,meter_500,4:54.19
swimmer,meter_500,4:54.21
swimmer,meter_500,4:55.08
swimmer,meter_500,4:52.85
swimmer,meter_500,4:54.48
swimmer,meter_600,5:52.59
swimmer,meter_600,5:57.10
swimmer,meter_600,5:56.99
swimmer,meter_600,5:53.53
swimmer,meter_600,5:56.31
swimmer,meter_600,5:53.03
swimmer,meter_600,5:54.45
swimmer,meter_600,5:52.92
swimmer,meter_700,6:57.69
swimmer,meter_700,6:53.34
swimmer,meter_700,6:50.91
swimmer,meter_700,6:55.07
swimmer,meter_700,6:57.44
swimmer,meter_700,6:52.58
swimmer,meter_700,6:50.80
swimmer,meter_700,6:52.69
swimmer,time,7:46.95
swimmer,time,7:47.91
swimmer,time,7:48.67
swimmer,time,7:52.04
swimmer,time,7:53.43
swimmer,time,7:56.56
swimmer,time,7:55.39
swimmer,time,7:49.98
stadium,id,1
stadium,id,2
stadium,id,3
stadium,id,4
stadium,id,5
stadium,id,6
stadium,id,7
stadium,id,8
stadium,id,9
stadium,id,10
stadium,name,Yubileyniy Stadium
stadium,name,Gazprom Arena
stadium,name,Nou Mestalla
stadium,name,Northumberland Development Project
stadium,name,Baku Olympic Stadium
stadium,name,Stade des Lumières
stadium,name,Arena Baltika
stadium,name,Estadio La Peineta
stadium,name,Ferenc Puskás Stadion
stadium,name,Fisht Olympic Stadium
stadium,capacity,68000
stadium,capacity,65000
stadium,capacity,47659
stadium,capacity,67500
stadium,capacity,61556
stadium,capacity,45015
stadium,capacity,75000
stadium,capacity,56250
stadium,capacity,69501
stadium,city,Lyon
stadium,city,Kaliningrad
stadium,city,Valencia
stadium,city,Saransk
stadium,city,Baku
stadium,city,London
stadium,city,Saint Petersburg
stadium,city,Budapest
stadium,city,Madrid
stadium,city,Sochi
stadium,country,Russia
stadium,country,Spain
stadium,country,England
stadium,country,Azerbaijan
stadium,country,Hungary
stadium,country,France
stadium,opening_year,2004
stadium,opening_year,2005
stadium,opening_year,2006
stadium,opening_year,2007
event,id,1
event,id,2
event,id,3
event,id,4
event,id,5
event,id,6
event,name,European FINA
event,name,IPC
event,name,World Junior
event,name,World Master
event,name,Pacific
event,name,FINA
event,stadium_id,1
event,stadium_id,2
event,stadium_id,3
event,stadium_id,4
event,stadium_id,8
event,stadium_id,10
event,year,2012
event,year,2016
event,year,2013
event,year,2014
event,year,2017
event,year,2011
record,id,1
record,id,2
record,id,3
record,id,4
record,id,5
record,id,6
record,id,7
record,id,8
record,id,9
record,id,10
record,id,11
record,id,12
record,id,13
record,result,Win
record,result,Loss
record,result,NC
record,swimmer_id,1
record,swimmer_id,2
record,swimmer_id,3
record,swimmer_id,4
record,swimmer_id,5
record,swimmer_id,6
record,event_id,1
record,event_id,2
record,event_id,3
record,event_id,4
record,event_id,5
bank,branch_id,1
bank,branch_id,2
bank,branch_id,3
bank,branch_id,4
bank,bname,broadway
bank,bname,downtown
bank,bname,high
bank,bname,morningside
bank,no_of_customers,123
bank,no_of_customers,203
bank,no_of_customers,453
bank,no_of_customers,367
bank,city,Austin
bank,city,New York City
bank,city,Salt Lake City
bank,state,Utah
bank,state,New York
bank,state,Texas
customer,cust_id,1
customer,cust_id,2
customer,cust_id,3
customer,cust_name,Owen
customer,cust_name,Jack
customer,cust_name,Mary
customer,acc_type,saving
customer,acc_type,checking
customer,acc_bal,2000
customer,acc_bal,1000
customer,acc_bal,800000
customer,no_of_loans,0
customer,no_of_loans,1
customer,no_of_loans,2
customer,credit_score,210
customer,credit_score,20
customer,credit_score,30
customer,branch_id,1
customer,branch_id,2
customer,branch_id,3
customer,state,Utah
customer,state,Texas
customer,state,New York
loan,loan_id,1
loan,loan_id,2
loan,loan_id,3
loan,loan_type,Mortgages
loan,loan_type,Business
loan,loan_type,Auto
loan,cust_id,1
loan,cust_id,3
loan,branch_id,1
loan,branch_id,2
loan,branch_id,3
loan,amount,3000
loan,amount,2050
loan,amount,5000
physician,employeeid,1
physician,employeeid,2
physician,employeeid,3
physician,employeeid,4
physician,employeeid,5
physician,employeeid,6
physician,employeeid,7
physician,employeeid,8
physician,employeeid,9
physician,name,Bob Kelso
physician,name,John Dorian
physician,name,Christopher Turk
physician,name,Molly Clock
physician,name,Percival Cox
physician,name,Elliot Reid
physician,name,Keith Dudemeister
physician,name,John Wen
physician,name,Todd Quinlan
physician,position,Senior Attending Physician
physician,position,Head Chief of Medicine
physician,position,MD Resident
physician,position,Surgical Attending Physician
physician,position,Attending Psychiatrist
physician,position,Staff Internist
physician,position,Attending Physician
physician,ssn,555555555
physician,ssn,111111111
physician,ssn,666666666
physician,ssn,222222222
physician,ssn,777777777
physician,ssn,333333333
physician,ssn,888888888
physician,ssn,444444444
physician,ssn,999999999
department,departmentid,1
department,departmentid,2
department,departmentid,3
department,name,General Medicine
department,name,Psychiatry
department,name,Surgery
department,head,9
department,head,4
department,head,7
affiliated_with,physician,1
affiliated_with,physician,2
affiliated_with,physician,3
affiliated_with,physician,4
affiliated_with,physician,5
affiliated_with,physician,6
affiliated_with,physician,7
affiliated_with,physician,8
affiliated_with,physician,9
affiliated_with,department,1
affiliated_with,department,2
affiliated_with,department,3
affiliated_with,primaryaffiliation,0
affiliated_with,primaryaffiliation,1
procedures,code,1
procedures,code,2
procedures,code,3
procedures,code,4
procedures,code,5
procedures,code,6
procedures,code,7
procedures,name,Reverse Rhinopodoplasty
procedures,name,Reversible Pancreomyoplasty
procedures,name,Complete Walletectomy
procedures,name,Folded Demiophtalmectomy
procedures,name,Obfuscated Dermogastrotomy
procedures,name,Obtuse Pyloric Recombobulation
procedures,name,Follicular Demiectomy
procedures,cost,5600.0
procedures,cost,4899.0
procedures,cost,3750.0
procedures,cost,10000.0
procedures,cost,4500.0
procedures,cost,25.0
procedures,cost,1500.0
trained_in,physician,3
trained_in,physician,6
trained_in,physician,7
trained_in,treatment,1
trained_in,treatment,2
trained_in,treatment,3
trained_in,treatment,4
trained_in,treatment,5
trained_in,treatment,6
trained_in,treatment,7
trained_in,certificationdate,2007-01-01
trained_in,certificationdate,2008-01-01
trained_in,certificationexpires,2007-12-31
trained_in,certificationexpires,2008-12-31
patient,ssn,100000001
patient,ssn,100000002
patient,ssn,100000003
patient,ssn,100000004
patient,name,Dennis Doe
patient,name,Random J. Patient
patient,name,John Smith
patient,name,Grace Ritchie
patient,address,101 Omgbbq Street
patient,address,1100 Foobaz Avenue
patient,address,37 Snafu Drive
patient,address,42 Foobar Lane
patient,phone,555-1204
patient,phone,555-0256
patient,phone,555-2048
patient,phone,555-0512
patient,insuranceid,36546321
patient,insuranceid,65465421
patient,insuranceid,68476213
patient,insuranceid,68421879
patient,pcp,1
patient,pcp,2
patient,pcp,3
nurse,employeeid,101
nurse,employeeid,102
nurse,employeeid,103
nurse,name,Carla Espinosa
nurse,name,Paul Flowers
nurse,name,Laverne Roberts
nurse,position,Head Nurse
nurse,position,Nurse
nurse,registered,0
nurse,registered,1
nurse,ssn,333333330
nurse,ssn,222222220
nurse,ssn,111111110
appointment,appointmentid,93216548
appointment,appointmentid,13216584
appointment,appointmentid,76983231
appointment,appointmentid,26548913
appointment,appointmentid,86213939
appointment,appointmentid,36549879
appointment,appointmentid,59871321
appointment,appointmentid,46846589
appointment,appointmentid,69879231
appointment,patient,100000001
appointment,patient,100000002
appointment,patient,100000003
appointment,patient,100000004
appointment,prepnurse,
appointment,prepnurse,101
appointment,prepnurse,102
appointment,prepnurse,103
appointment,physician,1
appointment,physician,2
appointment,physician,3
appointment,physician,4
appointment,physician,9
appointment,start,2008-04-26 12:00
appointment,start,2008-04-25 10:00
appointment,start,2008-04-24 10:00
appointment,start,2008-04-26 10:00
appointment,start,2008-04-26 11:00
appointment,start,2008-04-27 10:00
appointment,end,2008-04-26 12:00
appointment,end,2008-04-24 11:00
appointment,end,2008-04-26 13:00
appointment,end,2008-04-21 11:00
appointment,end,2008-04-25 11:00
appointment,end,2008-04-26 11:00
appointment,end,2008-04-27 11:00
appointment,examinationroom,A
appointment,examinationroom,C
appointment,examinationroom,B
medication,code,1
medication,code,2
medication,code,3
medication,code,4
medication,code,5
medication,name,Crescavitin
medication,name,Melioraurin
medication,name,Thesisin
medication,name,Awakin
medication,name,Procrastin-X
medication,brand,Baz Industries
medication,brand,Foo Labs
medication,brand,X
medication,brand,Bar Laboratories
medication,brand,Snafu Pharmaceuticals
medication,description,N/A
prescribes,physician,1
prescribes,physician,9
prescribes,patient,100000001
prescribes,patient,100000004
prescribes,medication,1
prescribes,medication,2
prescribes,date,2008-04-24 10:47
prescribes,date,2008-04-27 10:53
prescribes,date,2008-04-30 16:53
prescribes,appointment,13216584
prescribes,appointment,86213939
prescribes,appointment,
prescribes,dose,5
prescribes,dose,10
block,blockfloor,1
block,blockfloor,2
block,blockfloor,3
block,blockfloor,4
block,blockcode,1
block,blockcode,2
block,blockcode,3
room,roomnumber,
room,roomtype,Single
room,blockfloor,1
room,blockfloor,2
room,blockfloor,3
room,blockfloor,4
room,blockcode,1
room,blockcode,2
room,blockcode,3
room,unavailable,0
room,unavailable,1
on_call,nurse,101
on_call,nurse,102
on_call,nurse,103
on_call,blockfloor,1
on_call,blockcode,1
on_call,blockcode,2
on_call,blockcode,3
on_call,oncallstart,2008-11-04 19:00
on_call,oncallstart,2008-11-04 11:00
on_call,oncallend,2008-11-04 19:00
on_call,oncallend,2008-11-05 03:00
stay,stayid,3216
stay,stayid,3217
stay,stayid,3215
stay,patient,100000001
stay,patient,100000003
stay,patient,100000004
stay,room,112
stay,room,123
stay,room,111
stay,staystart,2008-05-03
stay,staystart,2008-05-01
stay,staystart,2008-05-02
stay,stayend,2008-05-14
stay,stayend,2008-05-03
stay,stayend,2008-05-04
undergoes,patient,100000001
undergoes,patient,100000004
undergoes,procedures,1
undergoes,procedures,2
undergoes,procedures,4
undergoes,procedures,5
undergoes,procedures,6
undergoes,procedures,7
undergoes,stay,3217
undergoes,stay,3215
undergoes,dateundergoes,2008-05-09
undergoes,dateundergoes,2008-05-03
undergoes,dateundergoes,2008-05-10
undergoes,dateundergoes,2008-05-02
undergoes,dateundergoes,2008-05-07
undergoes,dateundergoes,2008-05-13
undergoes,physician,3
undergoes,physician,6
undergoes,physician,7
undergoes,assistingnurse,105
undergoes,assistingnurse,101
undergoes,assistingnurse,102
undergoes,assistingnurse,103
follows,f1,1
follows,f1,2
follows,f1,3
follows,f1,5
follows,f1,7
follows,f2,1
follows,f2,2
follows,f2,3
follows,f2,4
follows,f2,5
follows,f2,6
tweets,id,1
tweets,id,2
tweets,id,4
tweets,id,5
tweets,id,6
tweets,id,7
tweets,id,8
tweets,id,9
tweets,uid,1
tweets,uid,3
tweets,uid,4
tweets,uid,5
tweets,uid,6
tweets,text,Today I have went shopping at Laffayette.
tweets,text,Hello I'm Tony Stark.
tweets,text,"Oh, I only have a few fans."
tweets,text,I had a pretty rough time during the last couple of weeks
tweets,text,My company is hiring interns.
tweets,text,"Let’s celebrate women, fight for equality and support each other,  not just today, but everyday!"
tweets,text,I love my new boyfriend.
tweets,text,I feel tired and don't want to write SQLs.
tweets,createdate,2018-03-09 20:01:02
tweets,createdate,2018-03-12 02:30:30
tweets,createdate,2018-03-09 20:00:14
user_profiles,uid,1
user_profiles,uid,2
user_profiles,uid,3
user_profiles,uid,4
user_profiles,uid,5
user_profiles,uid,6
user_profiles,uid,7
user_profiles,name,Susan
user_profiles,name,"Black Widow
"
user_profiles,name,Iron Man
user_profiles,name,Mary
user_profiles,name,Celine Dion
user_profiles,name,Natalie Portman
user_profiles,name,Tyler Swift
user_profiles,email,"ts@superstar.com
"
user_profiles,email,cd@superstar.com
user_profiles,email,np@superstar.com
user_profiles,email,Mary@yale.edu
user_profiles,email,bw@superhero.com
user_profiles,email,"susan@gmail.com
"
user_profiles,email,ts@richest.com
user_profiles,partitionid,1
user_profiles,partitionid,2
user_profiles,partitionid,5
user_profiles,partitionid,10
user_profiles,partitionid,23
user_profiles,followers,100
user_profiles,followers,23927492
user_profiles,followers,94375428
user_profiles,followers,35425845
user_profiles,followers,6662425
user_profiles,followers,890
user_profiles,followers,99999998
flight,flno,33
flight,flno,2
flight,flno,34
flight,flno,68
flight,flno,99
flight,flno,387
flight,flno,7
flight,flno,76
flight,flno,13
flight,flno,346
flight,origin,Chicago
flight,origin,Los Angeles
flight,destination,Tokyo
flight,destination,Honolulu
flight,destination,Sydney
flight,destination,Los Angeles
flight,destination,Washington D.C.
flight,destination,New York
flight,destination,Dallas
flight,destination,Boston
flight,destination,Chicago
flight,distance,802
flight,distance,1251
flight,distance,2308
flight,distance,5478
flight,distance,2606
flight,distance,1749
flight,distance,2551
flight,distance,7487
flight,departure_date,04/12/2005 11:50
flight,departure_date,04/12/2005 07:03
flight,departure_date,04/12/2005 09:00
flight,departure_date,04/12/2005 05:30
flight,departure_date,04/12/2005 08:45
flight,departure_date,04/12/2005 06:30
flight,departure_date,04/12/2005 12:45
flight,departure_date,04/12/2005 08:32
flight,departure_date,04/12/2005 09:15
flight,departure_date,04/12/2005 09:30
flight,arrival_date,04/12/2005 12:02
flight,arrival_date,04/12/2005 10:03
flight,arrival_date,04/12/2005 09:40
flight,arrival_date,04/12/2005 11:10
flight,arrival_date,04/12/2005 03:18
flight,arrival_date,04/12/2005 05:03
flight,arrival_date,04/12/2005 08:45
flight,arrival_date,04/12/2005 03:55
flight,arrival_date,04/12/2005 07:05
flight,arrival_date,04/12/2005 11:15
flight,price,261.56
flight,price,425.98
flight,price,202.45
flight,price,235.98
flight,price,780.99
flight,price,182
flight,price,278.56
flight,price,220.98
flight,price,375.23
flight,aid,1
flight,aid,2
flight,aid,3
flight,aid,5
flight,aid,6
flight,aid,7
flight,aid,9
flight,aid,10
aircraft,aid,1
aircraft,aid,2
aircraft,aid,3
aircraft,aid,4
aircraft,aid,5
aircraft,aid,6
aircraft,aid,7
aircraft,aid,8
aircraft,aid,9
aircraft,aid,10
aircraft,aid,11
aircraft,aid,12
aircraft,aid,13
aircraft,aid,14
aircraft,aid,15
aircraft,aid,16
aircraft,name,Embraer ERJ-145
aircraft,name,Airbus A319
aircraft,name,Boeing 737-800
aircraft,name,Airbus A320
aircraft,name,Schwitzer 2-33
aircraft,name,Boeing 777-300
aircraft,name,Boeing 767-400ER
aircraft,name,Tupolev 154
aircraft,name,SAAB 340
aircraft,name,Piper Archer III
aircraft,name,British Aerospace Jetstream 41
aircraft,name,Boeing 727
aircraft,name,Airbus A340-300
aircraft,name,Boeing 747-400
aircraft,name,Lockheed L1011
aircraft,name,Boeing 757-300
aircraft,distance,1504
aircraft,distance,4103
aircraft,distance,520
aircraft,distance,6441
aircraft,distance,4010
aircraft,distance,6475
aircraft,distance,2605
aircraft,distance,8430
aircraft,distance,1805
aircraft,distance,7120
aircraft,distance,2128
aircraft,distance,30
aircraft,distance,6900
aircraft,distance,3383
aircraft,distance,1530
aircraft,distance,1502
employee,eid,
employee,name,
employee,salary,
certificate,eid,550156548
certificate,eid,11564812
certificate,eid,356187925
certificate,eid,552455318
certificate,eid,548977562
certificate,eid,390487451
certificate,eid,573284895
certificate,eid,90873519
certificate,eid,269734834
certificate,eid,242518965
certificate,eid,556784565
certificate,eid,355548984
certificate,eid,142519864
certificate,eid,141582651
certificate,eid,310454876
certificate,eid,574489456
certificate,eid,574489457
certificate,eid,567354612
certificate,eid,159542516
certificate,eid,274878974
certificate,aid,1
certificate,aid,2
certificate,aid,3
certificate,aid,4
certificate,aid,5
certificate,aid,6
certificate,aid,7
certificate,aid,8
certificate,aid,9
certificate,aid,10
certificate,aid,11
certificate,aid,12
certificate,aid,13
certificate,aid,14
certificate,aid,15
player,player_id,1
player,player_id,2
player,player_id,3
player,player_id,4
player,player_id,5
player,player_id,6
player,player_id,7
player,player_id,8
player,player_id,9
player,player_id,10
player,player_id,11
player,player_id,12
player,player_id,13
player,player_id,14
player,sponsor_name,Winnipeg Centre
player,sponsor_name,Elmwood—Transcona
player,sponsor_name,Portage—Lisgar
player,sponsor_name,Brandon—Souris
player,sponsor_name,Charleswood—St. James—Assiniboia
player,sponsor_name,Provencher
player,sponsor_name,Winnipeg North
player,sponsor_name,Churchill
player,sponsor_name,Winnipeg South Centre
player,sponsor_name,Saint Boniface
player,sponsor_name,Selkirk—Interlake
player,sponsor_name,Winnipeg South
player,sponsor_name,Kildonan—St. Paul
player,sponsor_name,Dauphin—Swan River—Marquette
player,player_name,Ron Strynadka
player,player_name,Pat Martin
player,player_name,Mohamed Alli
player,player_name,Judy Wasylycia-Leis
player,player_name,Niki Ashton
player,player_name,Rachel Heinrichs
player,player_name,Ross C. Martin
player,player_name,Jim Maloway
player,player_name,Patricia Cordner
player,player_name,Sean Robert
player,player_name,Matt Schaubroeck
player,player_name,Fiona Shiells
player,player_name,Ross Eadie
player,player_name,Jean Luc Bouché
player,gender,M
player,gender,F
player,residence,Birtle
player,residence,Brandon
player,residence,Selkirk
player,residence,Oakbank
player,residence,Winnipeg
player,residence,Thompson
player,occupation,Student
player,occupation,Small Businessman
player,occupation,Product Consultant - MLCC
player,occupation,Design Coordinator
player,occupation,Ministerial Assistant
player,occupation,Researcher
player,occupation,Locomotive Engineer
player,occupation,Retired
player,occupation,Self Employed / Consultant
player,occupation,Distribution Centre Associate
player,occupation,Parliamentarian
player,votes,4673
player,votes,5502
player,votes,9506
player,votes,6055
player,votes,2353
player,votes,4914
player,votes,14355
player,votes,4947
player,votes,12285
player,votes,7190
player,votes,14097
player,votes,5490
player,votes,12093
player,votes,8734
player,rank,4th
player,rank,2nd
player,rank,3rd
player,rank,1st
club,club_id,1
club,club_id,2
club,club_id,3
club,club_id,4
club,club_id,5
club,club_id,6
club,club_name,Gefle IF
club,club_name,Helsingborgs IF
club,club_name,BK Häcken
club,club_name,Halmstads BK
club,club_name,AIK
club,club_name,Djurgårdens IF
club,region,Korea
club,region,Russia
club,region,UK
club,region,USA
club,region,France
club,start_year,1998
club,start_year,2000
club,start_year,2001
club,start_year,2005
club,start_year,2009
club,start_year,2011
coach,coach_id,1
coach,coach_id,2
coach,coach_id,3
coach,coach_id,4
coach,coach_id,5
coach,coach_name,Jameson Tomas
coach,coach_name,Robert Chen
coach,coach_name,James Wong
coach,coach_name,Joe Fabbri
coach,coach_name,Smith Brown
coach,gender,M
coach,gender,F
coach,club_id,1
coach,club_id,3
coach,rank,1
coach,rank,2
coach,rank,3
coach,rank,4
coach,rank,5
player_coach,player_id,1
player_coach,player_id,2
player_coach,player_id,3
player_coach,player_id,4
player_coach,player_id,6
player_coach,player_id,10
player_coach,player_id,14
player_coach,coach_id,1
player_coach,coach_id,2
player_coach,coach_id,3
player_coach,coach_id,5
player_coach,starting_year,2010
player_coach,starting_year,2011
player_coach,starting_year,2012
player_coach,starting_year,2013
match_result,rank,1
match_result,rank,2
match_result,rank,3
match_result,rank,4
match_result,rank,5
match_result,rank,6
match_result,club_id,1
match_result,club_id,2
match_result,club_id,3
match_result,club_id,4
match_result,club_id,5
match_result,club_id,6
match_result,gold,5
match_result,gold,6
match_result,gold,7
match_result,gold,12
match_result,gold,13
match_result,gold,20
match_result,big_silver,6
match_result,big_silver,7
match_result,big_silver,9
match_result,big_silver,11
match_result,big_silver,12
match_result,big_silver,14
match_result,small_silver,4
match_result,small_silver,6
match_result,small_silver,9
match_result,small_silver,10
match_result,small_silver,16
match_result,bronze,6
match_result,bronze,7
match_result,bronze,8
match_result,bronze,9
match_result,bronze,10
match_result,points,66
match_result,points,102
match_result,points,168
match_result,points,139
match_result,points,84
match_result,points,89
artist,artist_id,1
artist,artist_id,2
artist,artist_id,3
artist,artist_id,4
artist,artist_id,5
artist,artist_id,6
artist,artist_id,7
artist,name,Larry Nelson
artist,name,Paul Azinger
artist,name,John Daly
artist,name,Mark Brooks
artist,name,Nick Price
artist,name,Jeff Sluman
artist,name,Vijay Singh
artist,country,Zimbabwe
artist,country,United States
artist,country,Fiji
artist,year_join,1988
artist,year_join,1991
artist,year_join,1993
artist,year_join,1994
artist,year_join,1996
artist,year_join,1998
artist,year_join,1981
artist,age,45
artist,age,46
artist,age,47
artist,age,48
artist,age,50
artist,age,57
exhibition,exhibition_id,1
exhibition,exhibition_id,2
exhibition,exhibition_id,3
exhibition,exhibition_id,4
exhibition,exhibition_id,5
exhibition,exhibition_id,6
exhibition,year,2004
exhibition,year,2005
exhibition,year,2006
exhibition,year,2007
exhibition,year,2008
exhibition,year,2009
exhibition,theme,Santa Claus
exhibition,theme,Summer
exhibition,theme,Christmas stocking
exhibition,theme,Santa Claus and Rudolph the Red-Nosed Reindeer
exhibition,theme,Spring
exhibition,theme,Christmas Tree
exhibition,artist_id,1
exhibition,artist_id,2
exhibition,artist_id,3
exhibition,artist_id,4
exhibition,artist_id,6
exhibition,ticket_price,9.95
exhibition,ticket_price,14.95
exhibition,ticket_price,16.95
exhibition,ticket_price,19.95
exhibition,ticket_price,29.95
exhibition_record,exhibition_id,1
exhibition_record,exhibition_id,2
exhibition_record,exhibition_id,3
exhibition_record,exhibition_id,4
exhibition_record,exhibition_id,5
exhibition_record,date,December 9
exhibition_record,date,February 21
exhibition_record,date,February 19
exhibition_record,date,February 28
exhibition_record,date,December 16
exhibition_record,date,December 7
exhibition_record,date,December 12
exhibition_record,date,February 25
exhibition_record,date,February 26
exhibition_record,date,February 23
exhibition_record,date,December 13
exhibition_record,date,December 2
exhibition_record,date,December 5
exhibition_record,attendance,1313
exhibition_record,attendance,9089
exhibition_record,attendance,3139
exhibition_record,attendance,965
exhibition_record,attendance,2983
exhibition_record,attendance,24808
exhibition_record,attendance,4231
exhibition_record,attendance,1098
exhibition_record,attendance,1134
exhibition_record,attendance,1233
exhibition_record,attendance,13142
exhibition_record,attendance,1239
exhibition_record,attendance,10908
storm,storm_id,1
storm,storm_id,2
storm,storm_id,3
storm,storm_id,4
storm,storm_id,5
storm,storm_id,6
storm,storm_id,7
storm,storm_id,8
storm,storm_id,9
storm,storm_id,10
storm,name,Nine
storm,name,9 cyclones
storm,name,Two
storm,name,Six
storm,name,Three
storm,name,Eight
storm,name,Four
storm,name,Five
storm,name,One
storm,name,Seven
storm,dates_active,May19–May25
storm,dates_active,September7–September17
storm,dates_active,August26–September2
storm,dates_active,August5–August14
storm,dates_active,October20–October24
storm,dates_active,October24–October26
storm,dates_active,September18–September25
storm,dates_active,May19 –October26
storm,dates_active,September22–September28
